bookUUID,title,author,category,description,cover,txt_link,html_link
6761,The Adventures of Ferdinand Count Fathom,Tobias Smollett,"Adventure, Satire/Humor","""The Adventures of Ferdinand Count Fathom"" by Tobias Smollett is a satirical novel written in the mid-18th century. The narrative follows the cunning and morally ambiguous character of Ferdinand Count Fathom, a man of mysterious parentage armed with an extraordinary talent for deception and manipulation. The story sets the stage for themes of vice and virtue, exploring Fathom’s escapades and schemes as he navigates a world ripe for exploitation. The opening of Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less the novel introduces Fathom in an unusual light—born under strange circumstances to a mother who flitted between roles in military encampments and armies. We explore the early influence of his mother, an adventurous and fierce figure whose exploits paint a picture of a wild and unrestrained environment. As Fathom grows, he exhibits a blend of charisma and villainy, drawing the attention of powerful patrons while developing ambitions of his own. With a sharp wit and an ability to adapt, he becomes both an object of admiration and contempt, preparing the reader for a complex journey through deceit, ambition, and the nature of morality.  ",https://www.gutenberg.org/cache/epub/6761/pg6761.cover.medium.jpg,https://www.gutenberg.org/ebooks/6761.txt.utf-8,https://www.gutenberg.org/ebooks/6761.html.images
26184,Simple Sabotage Field Manual,U.S. Office of Strategic Services,"Nonfiction, Political","""Simple Sabotage Field Manual"" by United States. Office of Strategic Services is a historical publication written during the early 1940s, amid World War II. This manual acts as a guide for ordinary civilians to conduct simple acts of sabotage against enemy operations without the need for specialized training or equipment. Its main topic revolves around promoting small, accessible forms of resistance that could collectively disrupt the enemy's war effort. The manual outlines Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less various strategies and techniques for citizens to engage in sabotage that could be executed discreetly and with minimal risk. It provides specific suggestions for targeting transportation, communication, and industrial facilities to create delays and inefficiencies in enemy operations. The manual emphasizes the power of many individuals acting independently to contribute to a larger campaign of disruption, encouraging simple acts such as misplacing tools, delaying communication, or damaging equipment with household items. Overall, the ""Simple Sabotage Field Manual"" serves as a unique historical artifact that illustrates grassroots resistance efforts and the belief in the collective power of ordinary people during wartime.  ",https://www.gutenberg.org/cache/epub/26184/pg26184.cover.medium.jpg,https://www.gutenberg.org/ebooks/26184.txt.utf-8,https://www.gutenberg.org/ebooks/26184.html.images
174,The Picture of Dorian Gray,Oscar Wilde,"Horror, Psychological","""The Picture of Dorian Gray"" by Oscar Wilde is a novel written during the late 19th century. The story explores themes of art, beauty, and morality, centering on the life of a young man named Dorian Gray, who becomes entranced by his own beauty and the hedonistic philosophies of Lord Henry Wotton. As Dorian gains fame and pleasure through his youthful looks, he grapples with the implications of vanity and the cost Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less of immortality. At the start of the novel, we are introduced to Lord Henry Wotton and the artist Basil Hallward, who has painted a stunning portrait of Dorian Gray. Basil is deeply enamored with Dorian's beauty and harbors a secret affection for him. The opening chapters establish the dynamic between Lord Henry's cynical worldview and Basil's idealism, culminating in Dorian's arrival in the studio. Dorian's first encounter with Lord Henry sparks a transformative moment; as they converse, Dorian is exposed to Henry’s hedonistic philosophies, which shape his perception of beauty and life. The chapter sets a tone that hints at the foreboding price Dorian may pay for his fascination with youth and aesthetic pleasure.  ",https://www.gutenberg.org/cache/epub/174/pg174.cover.medium.jpg,https://www.gutenberg.org/ebooks/174.txt.utf-8,https://www.gutenberg.org/ebooks/174.html.images
6593,"The History of Tom Jones, A Foundling",Henry Fielding,"Adventure, Satire/Humor","""The History of Tom Jones, A Foundling"" by Henry Fielding is a novel written in the early 18th century. The narrative revolves around the life of Tom Jones, a foundling raised by the benevolent Squire Allworthy, exploring themes of morality, love, and social class. The story is rich in characters and details, illustrating the intricacies of human nature and society’s response to vice and virtue. At the start of the novel, Fielding Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less introduces Squire Allworthy as a compassionate and virtuous landowner who returns home from London to discover an infant boy, Tom, wrapped in linens in his bed. This event sets the stage for Tom's upbringing, as Allworthy decides to raise him as his own, despite the stigma attached to his illegitimate birth. The narrative also includes a humorous and philosophical commentary on human nature, inviting the reader to reflect on the follies and virtues of society through the interactions of characters like Allworthy, his sister Bridget, and the housekeeper Deborah. As Allworthy navigates the challenges of incorporating Tom into his life, the novel presents an exploration of how society views morality, innocence, and the social implications of being a ""bastard"" in a judgmental world.  ",https://www.gutenberg.org/cache/epub/6593/pg6593.cover.medium.jpg,https://www.gutenberg.org/ebooks/6593.txt.utf-8,https://www.gutenberg.org/ebooks/6593.html.images
2160,The Expedition of Humphry Clinker,Tobias Smollett,"Adventure, Satire/Humor","""The Expedition of Humphry Clinker"" by Tobias Smollett is a novel written during the mid-18th century. This humorous work explores the journey and misadventures of the Bramble family and their companions as they travel through Wales and England, providing a satirical glimpse into the social and cultural life of the time. The story is primarily told through a series of letters, offering a diverse range of perspectives from its characters, including the Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less hypochondriac Matthew Bramble and his lively niece, Lydia Melford. The opening of the novel introduces several key characters through a series of letters among various recipients. The narrative begins with Jonathan Dustwich, who writes to Mr. Henry Davis about his plans to publish a collection of letters, asserting the importance of their content. We also meet Matthew Bramble, who expresses his ailments and frustrations with familial responsibilities, alluding to troublesome interactions with his niece’s romantic interests. As they prepare for a trip to the Hot Well in Bristol, the Bramble family’s dynamic begins to unfold, hinting at both familial loyalty and the conflicts that arise from their contrasting personalities. Ultimately, the beginning sets the stage for a blend of comedy, social commentary, and insight into human relationships throughout their journey.  ",https://www.gutenberg.org/cache/epub/2160/pg2160.cover.medium.jpg,https://www.gutenberg.org/ebooks/2160.txt.utf-8,https://www.gutenberg.org/ebooks/2160.html.images
4085,The Adventures of Roderick Random,Tobias Smollett,"Adventure, Satire/Humor","""The Adventures of Roderick Random"" by Tobias Smollett is a novel written in the early 18th century. The book follows the life and misadventures of Roderick Random, an orphan navigating a world rife with challenges, cruelty, and injustice. As he grows from a neglected child into a young man, Roderick's journey is marked by both comedic elements and social satire. At the start of the novel, Roderick Random recounts his difficult birth Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less into a life of hardship, beginning with the aversion of his wealthy grandfather to his parents' union. The narrative unfolds through a vivid portrayal of Roderick's childhood, where he faces animosity from his relatives and mistreatment at school. Despite his hardships, Roderick displays resilience and cunning, emboldened by friendships with fellow outcasts. He breaks free from his grim circumstances upon moving to a new setting, where an encounter with his uncle leads him to a supportive environment, setting the stage for his future adventures. Throughout this opening, readers are introduced to a world filled with humor, familial conflict, and early struggles as Roderick seeks a better existence amid adversity.  ",https://www.gutenberg.org/cache/epub/4085/pg4085.cover.medium.jpg,https://www.gutenberg.org/ebooks/4085.txt.utf-8,https://www.gutenberg.org/ebooks/4085.html.images
5197,My Life — Volume 1,Richard Wagner,"Nonfiction, Memoir/Biography","""My Life — Volume 1"" by Richard Wagner is an autobiographical work written in the mid-19th century. This volume details the early years and formative experiences of the famed composer, from his childhood in Leipzig to his early professional endeavors around 1842. The book reflects on Wagner's family background, his introduction to music, and the influences that shaped his artistic journey. The opening of this autobiographical account begins with Wagner’s birth and Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less the immediate aftermath of his father's death, which left his family in difficult circumstances. He describes his stepfather's pivotal role in his upbringing and education, as well as the vibrant cultural environment he was immersed in, including his early encounters with the theatre and music. Throughout the narrative, Wagner recounts his childhood memories, the struggles with education, and the blossoming of his musical talent, which ultimately sets the stage for his future career as a composer. The reader is drawn into the emotions and aspirations of a young artist at the brink of discovering his calling, with significant events, relationships, and sentiments foreshadowing the remarkable life he would lead.  ",https://www.gutenberg.org/cache/epub/5197/pg5197.cover.medium.jpg,https://www.gutenberg.org/ebooks/5197.txt.utf-8,https://www.gutenberg.org/ebooks/5197.html.images
345,Dracula,Bram Stoker,Horror,"""Dracula"" by Bram Stoker is a Gothic horror novel written in the late 19th century. The story unfolds through a series of letters, journal entries, and newspaper clippings, primarily following the experiences of Jonathan Harker, a young English solicitor. Harker’s journey takes him to Transylvania, where he encounters the enigmatic Count Dracula, setting a thrilling and mysterious tone that delves into themes of fear, seduction, and the supernatural. The opening of the Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less novel presents Jonathan Harker’s journal entries, marking the beginning of his travels to meet Count Dracula regarding a real estate transaction. Harker describes his train journey through the picturesque landscapes of eastern Europe, highlighting the eerie atmosphere and local superstitions that hint at the challenges he will face. Upon arriving at the Count's castle, Harker senses unease, especially when local villagers express concern and give him protective charms against evil spirits. The tension escalates as Harker meets Dracula, who, while courteous, exhibits strange and unsettling behavior. Kafkaesque and claustrophobic, the initial chapters effectively set the stage for Harker’s realization that he is trapped in Dracula’s world, creating an eerie, suspenseful foundation for the unfolding narrative.  ",https://www.gutenberg.org/cache/epub/345/pg345.cover.medium.jpg,https://www.gutenberg.org/ebooks/345.txt.utf-8,https://www.gutenberg.org/ebooks/345.html.images
1259,Twenty Years After,Alexandre Dumas & Auguste Maquet,"Adventure, Historical","""Twenty Years After"" by Alexandre Dumas and Auguste Maquet is a historical novel written in the mid-19th century. It serves as the sequel to ""The Three Musketeers"" and continues the adventurous saga of D'Artagnan and his friends—Athos, Porthos, and Aramis. This installment delves into their lives twenty years after the original tale, exploring themes of friendship, loyalty, and political intrigue against the backdrop of a tumultuous France. At the start of ""Twenty Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less Years After,"" the reader is introduced to the political discontent in France following the death of Cardinal Richelieu. Cardinal Mazarin, his successor, finds himself in troubling times marked by public outrage against the government. The opening scene is set in the Palais Royal where Mazarin contemplates his precarious position amidst rising unrest. We witness D’Artagnan, now older but no less courageous, as he prepares to navigate this new political landscape. The narrative unveils immediate tensions as D’Artagnan is called to assist Mazarin, and we see hints of past friendships and alliances which will come into play as tensions rise. This opening part lays the groundwork for an epic blend of action, political maneuvering, and the enduring camaraderie of the central characters.  ",https://www.gutenberg.org/cache/epub/1259/pg1259.cover.medium.jpg,https://www.gutenberg.org/ebooks/1259.txt.utf-8,https://www.gutenberg.org/ebooks/1259.html.images
2554,Crime and Punishment,Fyodor Dostoyevsky,"Social Commentary, Philosophical, Psychological","""Crime and Punishment"" by Fyodor Dostoyevsky is a novel written in the mid-19th century. The story delves into the psychological turmoil of its main character, Rodion Raskolnikov, a former student living in extreme poverty in St. Petersburg, as he grapples with morality, guilt, and the nature of crime. Raskolnikov's internal struggles and rationalizations set the stage for a broader exploration of existential questions and the consequences of one's choices. At the start  novel, readers are introduced to Raskolnikov, who, on a sweltering July evening, leaves his cramped garret, fueled by a mix of fear and dread. He is acutely aware of his troubled finances, particularly his debts to his landlady, which cultivate a sense of isolation and despair. As he wanders through the city's pungent streets, he reflects on his own cowardice and impotence while contemplating a deeply disturbing act he is contemplating. The opening scene captures Raskolnikov's increasingly fraught mental state, portraying him as both an intellectual and a tormented soul. Eventually, he visits an old pawnbroker, Alyona Ivanovna, where an unsettling encounter begins to unfold, hinting at the drastic actions he is considering.  ",https://www.gutenberg.org/cache/epub/2554/pg2554.cover.medium.jpg,https://www.gutenberg.org/ebooks/2554.txt.utf-8,https://www.gutenberg.org/ebooks/2554.html.images
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,"Drama, Satire/Humor","""The Importance of Being Earnest: A Trivial Comedy for Serious People"" by Oscar Wilde is a play written in the late 19th century. This witty farce revolves around the theme of mistaken identities and the absurdities of Victorian society, focusing on the lives of two friends, John Worthing and Algernon Moncrieff, who both assume fictitious personas to escape their societal obligations. The opening of the play establishes Algernon Moncrieff's opulent flat, where Hidden checkbox to control the toggle Clickable label to show more The extra text that is initially hidden Clickable label to show less he converses with his manservant Lane about the complexity of life and marriage. John Worthing, or ""Ernest"" in town, visits Algernon, expressing his purpose of proposing to Gwendolen Fairfax, Algernon's cousin. Through clever dialogue, the two men discuss their escapades and the concept of ""Bunburying,"" a euphemism for creating a fictional identity to avoid responsibilities. This sets the stage for comedic misunderstandings and romantic entanglements that unfold as they both navigate their relationships with the women in their lives, Gwendolen and Cecily Cardew.  ",https://www.gutenberg.org/cache/epub/844/pg844.cover.medium.jpg,https://www.gutenberg.org/ebooks/844.txt.utf-8,https://www.gutenberg.org/ebooks/844.html.images
